beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount,,,,,,,
0 ,false,,,false,,,,,,,,,
1 ,TRUE,1234,1,false,,,,,,,,,
2 ,false,,,false,,,,,,,,,
3 ,false,,,false,,,,,,,,,
4 ,false,,,false,,,,,,,,,
5 ,false,,,false,,,,,,,,,
6 ,false,,,false,,,,,,,,,
7 ,false,,,false,,,,,,,,,
8 ,false,,,false,,,,,,,,,
9 ,false,,,false,,,,,,,,,
10 ,false,,,false,,,,,,,,,
11 ,false,,,false,,,,,,,,,
12 ,false,,,false,,,,,,,,,
13 ,false,,,false,,,,,,,,,
14 ,TRUE,1,1,false,,,,,,,,,
15 ,TRUE,2,1,false,,,,,,,,,
16 ,TRUE,3,1,false,,,,,,,,,
17 ,TRUE,4,1,false,,,,,,,,,
18 ,TRUE,1,1,false,,,,,,,,,
19 ,TRUE,2,1,false,,,,,,,,,
20 ,TRUE,3,1,false,,,,,,,,,
21 ,TRUE,4,1,false,,,,,,,,,
22 ,TRUE,1,1,false,,,,,,,,,
23 ,TRUE,2,1,false,,,,,,,,,
24 ,TRUE,3,1,false,,,,,,,,,
25 ,TRUE,4,1,false,,,,,,,,,
26 ,TRUE,1,1,false,,,,,,,,,
27 ,TRUE,2,1,false,,,,,,,,,
28 ,TRUE,3,1,false,,,,,,,,,
29 ,TRUE,4,1,false,,,,,,,,,
30 ,TRUE,1,1,false,,,,,,,,,
31 ,TRUE,2,1,false,,,,,,,,,
32 ,TRUE,3,1,false,,,,,,,,,
33 ,TRUE,4,1,false,,,,,,,,,
34 ,TRUE,1,1,false,,,,,,,,,
35 ,TRUE,2,1,false,,,,,,,,,
36 ,TRUE,3,1,false,,,,,,,,,
37 ,TRUE,4,1,false,,,,,,,,,
38 ,TRUE,1,1,false,,,,,,,,,
39 ,TRUE,2,1,false,,,,,,,,,
40 ,TRUE,3,1,false,,,,,,,,,
41 ,TRUE,4,1,false,,,,,,,,,
42 ,TRUE,1,1,false,,,,,,,,,
43 ,TRUE,2,1,false,,,,,,,,,
44 ,TRUE,3,1,false,,,,,,,,,
45 ,TRUE,4,1,false,,,,,,,,,
46 ,TRUE,1,1,false,,,,,,,,,
47 ,TRUE,2,1,false,,,,,,,,,
48 ,TRUE,3,1,false,,,,,,,,,
49 ,TRUE,4,1,TRUE,1234,1,,,,,,,
50 ,TRUE,1,1,false,,,,,,,,,
51 ,TRUE,2,1,false,,,,,,,,,
52 ,TRUE,3,1,false,,,,,,,,,
53 ,TRUE,4,1,false,,,,,,,,,
54 ,TRUE,1,1,false,,,,,,,,,
55 ,TRUE,2,1,false,,,,,,,,,
56 ,TRUE,3,1,false,,,,,,,,,
57 ,TRUE,4,1,false,,,,,,,,,
58 ,TRUE,1,1,false,,,,,,,,,
59 ,TRUE,2,1,false,,,,,,,,,
60 ,TRUE,3,1,false,,,,,,,,,
61 ,TRUE,4,1,false,,,,,,,,,
62 ,TRUE,1,1,false,,,,,,,,,
63 ,TRUE,2,1,false,,,,,,,,,
64 ,TRUE,3,1,false,,,,,,,,,
65 ,TRUE,4,1,false,,,,,,,,,
66 ,TRUE,1,1,false,,,,,,,,,
67 ,TRUE,2,1,false,,,,,,,,,
68 ,TRUE,3,1,false,,,,,,,,,
69 ,TRUE,4,1,false,,,,,,,,,
70 ,TRUE,1,1,false,,,,,,,,,
71 ,TRUE,2,1,false,,,,,,,,,
72 ,TRUE,3,1,false,,,,,,,,,
73 ,TRUE,4,1,false,,,,,,,,,
74 ,TRUE,1,1,false,,,,,,,,,
75 ,TRUE,2,1,false,,,,,,,,,
76 ,TRUE,3,1,false,,,,,,,,,
77 ,TRUE,4,1,false,,,,,,,,,
78 ,TRUE,1,1,false,,,,,,,,,
79 ,TRUE,2,1,false,,,,,,,,,
80 ,TRUE,3,1,false,,,,,,,,,
81 ,TRUE,4,1,TRUE,1234,1,,,,,,,
82 ,TRUE,1,1,false,,,,,,,,,
83 ,TRUE,2,1,false,,,,,,,,,
84 ,TRUE,3,1,false,,,,,,,,,
85 ,TRUE,4,1,false,,,,,,,,,
