Beat_timing,Generate_A_type,A_generate_side,A_generate_amount,Generate_B_type,B_generate_side,B_generate_amount
0,true,32,2,false,,0
1,true,3,4,false,,0
2,true,2,2,true,4,3
3,true,3,2,true,2,2
4,true,23,4,false,,0
5,true,14,4,false,,0
6,true,41,3,false,,0
7,true,31,4,false,,0
8,true,42,4,false,,0
9,false,,0,false,,0
10,true,41,4,true,2,1
11,true,3,2,true,2,2
12,true,4,4,true,4,1
13,true,42,2,false,,0
14,true,2,3,false,,0
15,true,4,4,true,4,3
16,true,1,3,false,,0
17,true,3,2,false,,0
18,true,14,2,true,2,2
19,true,3,2,true,4,2
20,true,21,2,true,2,2
21,true,31,3,false,,0
22,true,3,4,true,4,2
23,true,34,2,false,,0
24,true,21,2,true,2,3
25,true,3,4,false,,0
26,true,14,2,false,,0
27,true,32,3,true,2,1
28,true,3,4,true,2,2
29,false,,0,true,2,2
30,true,3,2,false,,0
31,true,12,3,false,,0
32,true,23,2,false,,0
33,true,4,4,false,,0
34,true,1,3,false,,0
35,true,1,2,false,,0
36,true,14,4,true,2,3
37,true,3,3,true,2,2
38,true,3,2,true,4,3
39,true,2,2,true,4,2
40,true,1,4,true,2,3
41,true,1,2,false,,0
42,true,2,3,false,,0
43,false,,0,false,,0
44,true,1,4,false,,0
45,true,32,2,false,,0
46,true,1,2,false,,0
47,true,4,2,true,4,1
48,false,,0,false,,0
49,true,3,3,false,,0
50,true,43,2,false,,0
51,true,41,3,true,4,2
52,false,,0,true,4,3
53,true,21,3,true,2,2
54,false,,0,false,,0
55,true,43,4,false,,0
56,true,4,2,false,,0
57,true,2,2,true,4,3
58,true,2,3,false,,0
59,true,24,4,false,,0
60,true,32,4,true,4,2
61,true,2,4,false,,0
62,true,3,2,true,2,3
63,true,41,2,false,,0
64,true,1,4,false,,0
65,true,32,4,false,,0
66,true,3,2,false,,0
67,true,43,2,false,,0
68,true,2,3,false,,0
69,true,3,2,false,,0
70,true,43,3,false,,0
71,true,4,3,true,2,1
72,true,23,3,true,2,1
73,true,12,2,true,2,1
74,true,3,3,false,,0
75,true,3,4,true,2,3
76,false,,0,false,,0
77,false,,0,true,2,1
78,true,2,3,true,4,3
79,true,32,4,false,,0
80,true,4,3,true,2,1
81,true,42,3,false,,0
82,true,32,3,true,2,2
83,true,1,2,false,,0
84,true,4,3,true,4,1
85,true,3,3,true,4,1
86,true,42,2,true,4,1
87,true,3,4,false,,0
88,true,2,2,true,4,1
89,true,3,2,false,,0
90,true,14,2,false,,0
91,true,34,2,false,,0
92,true,21,2,true,4,3
93,true,2,4,true,4,1
94,false,,0,false,,0
95,true,4,4,false,,0
96,true,3,2,false,,0
97,true,2,4,true,4,3
98,true,42,4,false,,0
99,true,1,4,false,,0
100,true,21,3,false,,0
101,true,4,4,true,2,2
102,true,43,4,false,,0
103,true,43,3,false,,0
104,true,1,3,false,,0
105,true,42,3,true,4,3
106,true,4,3,false,,0
107,true,14,2,true,2,2
108,true,1,2,false,,0
109,true,32,2,false,,0
110,true,41,3,false,,0
111,true,12,3,false,,0
112,true,3,2,true,4,1
113,true,21,3,true,4,3
114,true,43,4,false,,0
115,true,2,2,false,,0
116,true,31,4,true,2,3
117,true,3,3,true,4,2
118,true,4,4,true,2,2
119,true,4,4,false,,0
120,false,,0,false,,0
121,true,23,2,true,4,3
122,true,43,4,false,,0
123,false,,0,true,4,1
124,true,24,4,true,4,2
125,false,,0,false,,0
126,true,2,2,false,,0
127,true,23,2,false,,0
128,true,2,3,true,4,2
129,true,2,4,false,,0
130,true,14,4,true,4,1
131,true,21,2,true,2,3
132,true,23,2,true,4,2
133,true,4,4,false,,0
134,true,34,2,true,4,1
135,true,24,4,false,,0
136,true,41,3,false,,0
137,true,1,3,false,,0
138,true,1,2,false,,0
139,true,42,2,false,,0
140,true,4,2,true,2,2
141,true,2,4,false,,0
142,true,4,2,true,4,1
143,true,21,4,true,2,3
144,true,23,2,false,,0
145,true,34,4,false,,0
146,true,12,3,true,4,3
147,true,32,2,true,4,2
148,true,24,3,true,2,1
149,false,,0,true,4,1
150,true,42,3,false,,0
151,true,2,4,true,4,3
152,true,4,3,false,,0
153,true,32,3,true,4,2
154,true,43,3,true,4,1
155,true,2,2,false,,0
156,true,1,2,false,,0
157,true,24,4,true,4,1
158,true,23,3,false,,0
159,true,43,2,false,,0
160,true,1,2,false,,0
161,true,2,4,true,4,2
162,false,,0,false,,0
163,false,,0,false,,0
164,true,1,4,true,4,2
165,true,2,3,false,,0
166,true,43,3,false,,0
167,true,3,3,false,,0
168,true,32,3,true,2,3
169,true,23,3,true,2,2
170,true,1,3,false,,0
171,false,,0,true,4,1
172,false,,0,false,,0
173,true,14,3,false,,0
174,true,2,3,true,4,3
175,true,2,4,true,4,2
